"","Tgfa_parent_baseMean","Tgfa_parent_log2FoldChange","Tgfa_parent_lfcSE","Tgfa_parent_stat","Tgfa_parent_pvalue","Tgfa_parent_padj","Tgfa_mut_baseMean","Tgfa_mut_log2FoldChange","Tgfa_mut_lfcSE","Tgfa_mut_stat","Tgfa_mut_pvalue","Tgfa_mut_padj"
"MCMDC2",75.4264660673226,1.12306916911166,0.221273521090545,5.07015587800769,3.97490011631868e-07,1.14954169969172e-06,72.8667023873826,0.0414614244074761,0.183926754267021,0.225476112064235,0.821608906745099,0.878775015649436
"SNORD87",7.61106906138214,-0.565316005529573,0.479442003044118,-1.1775979190303,0.238956939876968,0.303427136056734,7.95730396490252,-0.343847980890474,0.370398435067261,-0.931593760056766,0.351546509132477,0.473956919931418
"TCF24",1441.01687071358,-0.695852681767139,0.110955654537605,-6.27140922821483,3.57794864672306e-10,1.3301390704662e-09,1240.72718452099,-0.854662441640635,0.0821517706360231,-10.4027013296128,2.41002364744372e-25,1.13589416439895e-23
"PPP1R42",19.5383802907279,-0.386188701811371,0.334221915530076,-1.15577096407951,0.247774852646849,0.313075367399497,20.4538269510981,-0.63228164803573,0.289521399675069,-2.17825654797011,0.0293869422029891,0.0624931171592509
"COPS5",2647.86800001984,0.063447041958393,0.0701719716137758,0.904166131738142,0.365907316004198,0.438507530375583,2146.46857007769,-0.00298407550588667,0.0539412878454099,-0.0553205220175045,0.955883112994044,0.971175169302788
"CSPP1",1933.13992779492,0.365868136810021,0.0899660112210367,4.06670512614902,4.76825150078421e-05,0.000110734649327077,1708.43700738338,0.240511399103273,0.0971617261273648,2.47536231330538,0.0133101072196462,0.0319391429727917
"ARFGEF1",11105.8523271598,0.105740869762946,0.0371586688145384,2.84565803652137,0.00443197612646747,0.00797826882832712,8833.41164914895,0.134225600079316,0.0569201762807155,2.35813780316219,0.0183668734283756,0.0420214774758806
"CPA6",3.13778568201253,-1.4395072709202,0.65485744117267,-2.18781851671457,0.0286828245382167,0.0450767033203502,4.80208125848286,-1.13843744372069,0.375627004095139,-2.99510311250914,0.00274352080156881,0.00806272348508105
"PREX2",2059.8336454484,-0.306190820901233,0.068953136645917,-4.44055931705069,8.97253679757437e-06,2.25347387047915e-05,1562.94045527681,-0.0519486799417504,0.0706110320281215,-0.735702532525072,0.461911748107123,0.583984249736783
"C8orf34",6.39247854315314,-2.16857428283001,0.596787162918472,-3.48031270283694,0.000500828863668012,0.00102304172463921,2.99319857475834,-0.500923952881993,0.332131833545119,-1.58912198151399,0.112032855979431,0.190855699638522
